"DISPATCH UNITS",LOCATION,TYPE,ADDRESS,CITY,"CREATE DATE"
E48,,DUMPF,"8610 SAN YSIDRO AV",Gilroy,"2024-12-09 02:44"
E48,,MEDICF,"8383 WREN AV",Gilroy,"2025-03-03 07:28"
E47,"8095 CAMINO ARROYO, GILROY, CA, 95020",MEDICF,"8095 CAMINO ARROYO",Gilroy,"2024-10-15 13:41"
E50,,MEDICF,"7475 CAMINO ARROYO",Gilroy,"2024-09-17 09:10"
E49,"8383 WREN AVE, GILROY, CA, 95020",MOVE,"8383 WREN AV",Gilroy,"2025-08-04 19:30"
"RM49, E47, B49, E48, E49",,1033GF,"200 E TENTH ST",Gilroy,"2024-12-15 03:57"
E47,"7670 CHURCH ST, GILROY, CA, 95020",MEDICF,"7670 CHURCH ST",Gilroy,"2024-08-22 23:52"
E48,"796 LA PALOMA WAY, GILROY, CA, 95020",MEDICF,"796 LA PALOMA WY",Gilroy,"2024-09-29 17:03"
E48,,FIREHF,"7880 MONTEREY ST",Gilroy,"2024-10-28 06:50"
"E49, E2614","1545 MARGARETA PL, GILROY, CA, 95020",MEDICF,"1545 MARGARETA PL",Gilroy,"2024-12-09 01:16"
E48,,MEDICF,"CHURCH ST/FIRST ST",Gilroy,"2024-10-04 19:24"
E147,,MEDICF,"200 E TENTH ST",Gilroy,"2024-11-07 17:20"
E48,"8500 WREN AVE, GILROY, CA, 95020",MEDICF,"8500 WREN AV",Gilroy,"2025-03-15 03:52"
E48,"8500 WREN AVE, GILROY, CA, 95020",MEDICF,"8500 WREN AV",Gilroy,"2025-03-15 04:17"
"E49, E48, B47",,1180F,"HECKER PASS RD/AUTUMN WY",Gilroy,"2024-10-08 16:42"
"E2614, E48, E147",,MEDICF,"E NINTH ST/ALEXANDER ST",Gilroy,"2024-11-07 17:35"
B48,,AUTOAVA,"HECKER PASS HWY/POLE LINE RD","Santa Clara County","2024-09-29 19:12"
E47,"6110 MONTEREY RD, GILROY, CA, 95020",MEDICF,"6110 MONTEREY RD",Gilroy,"2024-09-29 18:00"
E650,"7610 ISABELLA WAY, GILROY, CA, 95020",MEDICF,"7610 ISABELLA WY",Gilroy,"2024-09-17 10:07"
E47,"950 RENZ LN, GILROY, CA, 95020",MEDICF,"950 RENZ LN",Gilroy,"2024-07-26 13:41"
E47,,1181F,"US HWY 101/MONTEREY RD ON 101S RP",Gilroy,"2024-07-26 13:15"
E47,"7150 CAMINO ARROYO, GILROY, CA, 95020",MEDICF,"7150 CAMINO ARROYO",Gilroy,"2026-03-24 19:55"
E47,"1600 ZEPHYR PL, GILROY, CA, 95020",1033CM,"1600 ZEPHYR PL",Gilroy,"2025-03-03 18:13"
E47,"7250 MONTEREY ST, GILROY, CA, 95020",MEDICF,"7250 MONTEREY ST",Gilroy,"2026-05-20 23:20"
E48,"8300 ARROYO CIR, GILROY, CA, 95020",MEDICF,"8300 ARROYO CI",Gilroy,"2024-11-07 17:46"
E47,"6930 GLENVIEW DR, GILROY, CA, 95020",MEDICF,"6930 GLENVIEW DR",Gilroy,"2024-07-26 09:47"
E47,,MEDICF,"5878 GARLIC FARMS DR",Gilroy,"2024-08-09 12:06"
E47,,AUTOAM,"HWY 25/101N OFF HWY 25 RP","Santa Clara County","2024-09-05 10:37"
E48,"6701 CAMINO ARROYO, GILROY, CA, 95020",1033WF,"6701 CAMINO ARROYO",Gilroy,"2024-07-30 20:41"
E48,,LOCK,"1323 FIRST ST",Gilroy,"2024-08-09 12:14"
"E168, B47, RM49, B1617, T47, E69, E48, E49","7244 ROSANNA ST, GILROY, CA, 95020",FIRES,"7244 ROSANNA ST",Gilroy,"2025-01-16 10:04"
E49,,MEDICF,"1520 HECKER PASS RD",Gilroy,"2024-09-29 18:42"
"E47, RM49, E48, B49",,1181F,"UVAS PARK DR/W TENTH ST",Gilroy,"2024-11-27 10:42"
E48,"8203 DAISY LN, GILROY, CA, 95020",MEDICF,"8203 DAISY LN",Gilroy,"2025-01-26 18:05"
E48,,MEDICF,"MURRAY AV/LEAVESLEY RD",Gilroy,"2024-11-07 18:14"
T47,,MEDICF,"7475 CAMINO ARROYO",Gilroy,"2025-02-25 08:54"
E48,"7070 CHESTNUT ST, GILROY, CA, 95020","TEST ALERT, PLEASE IGNORE","7070 Chestnut St",Gilroy,"2024-10-28 08:34"
"E49, E48",,AUTOAL,"5355 MONTEREY FRONTAGE RD",Gilroy,"2025-01-16 11:04"
E49,"1402 CASABLANCA CIR, GILROY, CA, 95020",MEDICF,"1402 CASABLANCA CI",Gilroy,"2024-10-28 09:54"
E49,,PS,"1599 THIRD ST",Gilroy,"2025-02-07 14:08"
"RM49, E48, T47","7610 ISABELLA WAY, GILROY, CA, 95020",MEDICF,"7610 ISABELLA WY",Gilroy,"2025-01-16 10:56"
"E47, E650","8429 MURRAY AVE, GILROY, CA, 95020",MEDICF,"8429 MURRAY AV",Gilroy,"2024-10-28 11:22"
E48,"8200 KERN AVE, GILROY, CA, 95020",PSLIFT,"8200 KERN AV",Gilroy,"2025-09-16 22:32"
"E49, E48",,MEDICF,"1055 MONTE BELLO DR",Gilroy,"2024-10-16 09:55"
E47,,SMOKE,"651 W SIXTH ST",Gilroy,"2026-01-14 22:19"
E49,,MEDICF,"190 LEAVESLEY RD",Gilroy,"2025-04-14 12:51"
E47,"6715 CAMINO ARROYO, GILROY, CA, 95020",1033WF,"6715 CAMINO ARROYO",Gilroy,"2025-04-14 13:14"
E47,,MEDICF,"850 PACHECO PASS HY",Gilroy,"2024-10-08 17:41"
E48,"440 BROADWAY, GILROY, CA, 95020",MEDICF,"440 BROADWAY",Gilroy,"2025-04-08 15:06"
,,AA,"1480 WINZER PL",Gilroy,"2024-07-26 15:02"
E49,"8658 LILLY AVE, GILROY, CA, 95020",MEDICF,"8658 LILLY AV",Gilroy,"2024-07-26 15:46"
"E49, E48, B47","1515 WELBURN AVE, GILROY, CA, 95020",MEDICF,"1515 WELBURN AV",Gilroy,"2024-10-13 08:32"
E49,"8490 WREN AVE, GILROY, CA, 95020",MEDICF,"8490 WREN AV",Gilroy,"2024-09-05 11:12"
"E47, B48",,AUTOAV,"101/OLD MONTEREY RD",Gilroy,"2024-10-07 06:45"
E48,,PS,"3050 HECKER PASS RD",Gilroy,"2024-07-26 14:20"
E49,"9360 NO NAME UNO, GILROY, CA, 95020",PSLIFT,"9360 NO NAME UNO",Gilroy,"2024-07-26 14:23"
E48,"753 RAMONA WAY, GILROY, CA, 95020",MEDICF,"753 RAMONA WY",Gilroy,"2024-08-29 18:08"
E49,"7600 ISABELLA WAY, GILROY, CA, 95020",MEDICF,"7600 ISABELLA WY",Gilroy,"2025-02-25 09:11"
E48,"7268 MILLER AVE, GILROY, CA, 95020",MEDICF,"7268 MILLER AV",Gilroy,"2025-02-25 08:42"
"E169, E48","7687 HACKETT DR, GILROY, CA, 95020",MEDICF,"7687 HACKETT DR",Gilroy,"2025-04-14 12:43"
E47,"650 HOLLOWAY RD, GILROY, CA, 95020",MEDICF,"650 HOLLOWAY RD",Gilroy,"2024-07-26 17:35"
E47,"5530 MONTEREY RD, GILROY, CA, 95020",MEDICF,"5530 MONTEREY RD",Gilroy,"2024-10-08 18:22"
T50,,T,"905 FIRST ST",Gilroy,"2024-12-20 20:20"
E49,,MEDICF,"905 FIRST ST",Gilroy,"2024-07-26 18:02"
E49,"6701 CAMINO ARROYO, GILROY, CA, 95020",1033GF,"6701 CAMINO ARROYO",Gilroy,"2024-07-26 14:54"
B47,,FIRES,"1480 WINZER PL",Gilroy,"2024-07-26 15:02"
"E650, E49","1545 MARGARETA PL, GILROY, CA, 95020",MEDICF,"1545 MARGARETA PL",Gilroy,"2024-10-06 23:09"
E48,"8750 HIRASAKI CT, GILROY, CA, 95020",MEDICF,"8750 HIRASAKI CT",Gilroy,"2024-08-29 13:38"
B50,"7070 CHESTNUT ST, GILROY, CA, 95020",TESTF,"7070 CHESTNUT ST",Gilroy,"2024-08-29 14:28"
E48,,PSLIFT,"935 THIRD ST",Gilroy,"2024-08-29 14:25"
B47,"7070 CHESTNUT ST, GILROY, CA, 95020",TESTF,"7070 CHESTNUT ST",Gilroy,"2024-08-23 08:59"
E48,"7520 CARMEL ST, GILROY, CA, 95020",MEDICF,"7520 CARMEL ST",Gilroy,"2024-09-05 13:27"
E47,"6400 MONTEREY RD, GILROY, CA, 95020",SMOKE,"6400 MONTEREY RD",Gilroy,"2024-08-23 09:06"
E48,"459 MADISON CT, GILROY, CA, 95020",MEDICF,"459 MADISON CT",Gilroy,"2024-10-07 12:14"
E47,"750 W TENTH ST, GILROY, CA, 95020",MEDICF,"750 W TENTH ST",Gilroy,"2024-08-29 10:31"
E47,"395 LEAVESLEY RD, GILROY, CA, 95020",MEDICF,"395 LEAVESLEY RD",Gilroy,"2024-09-05 14:22"
B47,"7070 CHESTNUT ST, GILROY, CA, 95020",TESTF,"7070 CHESTNUT ST",Gilroy,"2024-08-23 09:22"
E650,,MEDICF,"6831 VINTNER ST",Gilroy,"2024-07-26 19:05"
E48,"8170 MURRAY AVE, GILROY, CA, 95020",MEDICF,"8170 MURRAY AV",Gilroy,"2025-01-16 11:24"
"RM49, E49",,MEDICF,"1280 FIRST ST",Gilroy,"2026-02-28 19:28"
E47,"5851 WINGED FOOT DR, GILROY, CA, 95020",MEDICF,"5851 WINGED FOOT DR",Gilroy,"2024-09-29 19:23"
E48,"892 RYAN CT, GILROY, CA, 95020",MEDICF,"892 RYAN CT",Gilroy,"2024-09-05 14:09"
E650,"1545 MARGARETA PL, GILROY, CA, 95020",MEDICF,"1545 MARGARETA PL",Gilroy,"2024-09-05 14:20"
E650,"7600 ISABELLA WAY, GILROY, CA, 95020",MEDICF,"7600 ISABELLA WY",Gilroy,"2024-08-23 10:55"
E47,,FIREF,"US HWY 101/LEAVESLEY RD",Gilroy,"2024-09-05 15:00"
E48,,HAZMATF,"1260 FIRST ST",Gilroy,"2024-11-07 19:33"
E49,"370 TOMKINS CT, GILROY, CA, 95020",MEDICF,"370 TOMKINS CT",Gilroy,"2024-09-05 15:08"
E48,"641 LEAVESLEY RD, GILROY, CA, 95020",PS,"641 LEAVESLEY RD",Gilroy,"2024-08-23 11:10"
"E48, E169",,1181F,"8795 SAN YSIDRO AV",Gilroy,"2025-04-08 15:33"
"E48, E650, E49","7686 SANTA INEZ CT, GILROY, CA, 95020",MEDICF,"7686 SANTA INEZ CT",Gilroy,"2024-10-28 15:31"
E47,,MEDICF,"ORCHARD DR/W TENTH ST",Gilroy,"2024-09-05 15:16"
E48,,MEDICF,"935 THIRD ST",Gilroy,"2025-01-06 02:42"
,"7943 KIPLING CIR, GILROY, CA, 95020",1054,"7943 KIPLING CI",Gilroy,"2024-08-09 16:06"
E650,,MEDICF,"200 E TENTH ST",Gilroy,"2024-09-29 20:45"
E48,"8383 WREN AVE, GILROY, CA, 95020",MEDICF,"8383 WREN AV",Gilroy,"2025-08-31 13:44"
E50,"1550 SIDERITS WAY, GILROY, CA, 95020",1033SD,"1550 SIDERITS WY",Gilroy,"2026-04-02 23:46"
E49,"1442 MANTELLI DR, GILROY, CA, 95020",PSLIFT,"1442 MANTELLI DR",Gilroy,"2024-09-05 16:15"
E49,,MEDICF,"6945 CAMINO ARROYO",Gilroy,"2024-09-29 21:00"
E48,"7943 KIPLING CIR, GILROY, CA, 95020",1054F,"7943 KIPLING CI",Gilroy,"2024-08-09 16:06"
B72,"7070 CHESTNUT ST, GILROY, CA, 95020",FMIS,"7070 CHESTNUT ST",Gilroy,"2025-08-04 19:16"
"B49, E168, T47, E48",,1180F,"US HWY 101/LEAVESLEY RD OFF 101N RP",Gilroy,"2025-01-26 19:52"
E48,"6984 AUTOMALL PKWY, GILROY, CA, 95020",1033GF,"6984 AUTOMALL PARKWAY",Gilroy,"2024-09-05 15:37"
E47,,MEDICF,"651 W SIXTH ST",Gilroy,"2024-09-05 15:48"
T47,"7412 MONTEREY ST, GILROY, CA, 95020",1033GF,"7412 MONTEREY ST",Gilroy,"2025-02-25 09:47"
E49,,1181F,"MANTELLI DR/LIONS CREEK DR",Gilroy,"2024-07-12 20:11"
E49,"1435 MANTELLI DR, GILROY, CA, 95020",MEDICF,"1435 MANTELLI DR",Gilroy,"2024-07-12 21:14"
,"7540 CHESTNUT ST, GILROY, CA, 95020",GUN,"7540 CHESTNUT ST",Gilroy,"2024-08-09 18:33"
E48,"8471 WAYLAND LN, GILROY, CA, 95020",MEDICF,"8471 WAYLAND LN",Gilroy,"2024-08-09 18:55"
E650,"7661 SANTA PAULA DR, GILROY, CA, 95020",MEDICF,"7661 SANTA PAULA DR",Gilroy,"2024-07-12 22:25"
E49,"60 BENNETT CT, GILROY, CA, 95020",GASOF,"60 BENNETT CT",Gilroy,"2025-04-03 20:52"
E48,"8203 DAISY LN, GILROY, CA, 95020",MEDICF,"8203 DAISY LN",Gilroy,"2024-07-13 00:42"
E49,,AUTOAVA,"US HWY 101/MASTEN AV ON 101N RP","Santa Clara County","2024-07-27 01:08"
E47,,1033SD,"30 THIRD ST",Gilroy,"2024-09-05 17:37"
E48,"852 WELBURN AVE, GILROY, CA, 95020",MEDICF,"852 WELBURN AV",Gilroy,"2024-09-29 23:47"
E48,"7750 WREN AVE, GILROY, CA, 95020",MEDICF,"7750 WREN AV",Gilroy,"2026-03-16 10:08"
E650,"7320 NANTUCKET PL, GILROY, CA, 95020",PS,"7320 NANTUCKET PL",Gilroy,"2024-08-09 18:16"
E48,"8490 WREN AVE, GILROY, CA, 95020",MEDICF,"8490 WREN AV",Gilroy,"2024-08-23 12:22"
E48,"8540 CHURCH ST, GILROY, CA, 95020",MEDICF,"8540 CHURCH ST",Gilroy,"2025-03-07 09:56"
E49,"9630 PRAIRIE OWL CT, GILROY, CA, 95020",MEDICF,"9630 PRAIRIE OWL CT",Gilroy,"2025-08-30 19:27"
E47,,VEHF,"198 E NINTH ST",Gilroy,"2024-08-09 17:32"
E48,,MEDICF,"1405 FIRST ST",Gilroy,"2025-01-26 21:12"
E48,"8282 MURRAY AVE, GILROY, CA, 95020",MEDICF,"8282 MURRAY AV",Gilroy,"2026-05-12 01:29"
E48,"8490 WREN AVE, GILROY, CA, 95020",MEDICF,"8490 WREN AV",Gilroy,"2024-08-23 12:33"
E47,,AUTOAM,"PACHECO CT/FRAZIER LAKE RD",COUNTY,"2024-09-05 18:12"
E650,,PSLIFT,"651 W SIXTH ST",Gilroy,"2024-07-12 06:59"
E48,,MEDICF,"MONTEREY ST/LEWIS ST",Gilroy,"2024-07-12 07:26"
E47,,1033SD,"200 E TENTH ST",Gilroy,"2024-07-12 08:31"
E650,"2040 PORTMARNOCK CT, GILROY, CA, 95020",MEDICF,"2040 PORTMARNOCK CT",Gilroy,"2024-07-12 09:46"
E49,,AUTOA,"11550 WATSONVILLE RD","Santa Clara County","2024-07-12 09:49"
E48,,MEDICF,"8850 SAN YSIDRO AV",Gilroy,"2024-07-12 11:03"
E650,"777 LAWRENCE DR, GILROY, CA, 95020",PSLIFT,"777 LAWRENCE DR",Gilroy,"2024-09-05 18:07"
E49,"8900 MURRAY AVE, GILROY, CA, 95020",FIREHF,"8900 MURRAY AV",Gilroy,"2026-04-06 00:12"
E49,"7600 ISABELLA WAY, GILROY, CA, 95020",MEDICF,"7600 ISABELLA WY",Gilroy,"2024-09-17 13:20"
"E48, E49",,1180F,"MONTEREY ST/LEAVESLEY RD",Gilroy,"2024-12-20 21:06"
E47,,MEDICF,"7301 HANNA ST",Gilroy,"2024-12-20 21:43"
"E147, E2614, B47","544 STONEY CT, GILROY, CA, 95020",SMOKE,"544 STONEY CT",Gilroy,"2024-11-07 21:12"
E48,,MEDICF,"935 THIRD ST",Gilroy,"2024-07-27 10:22"
E48,"8300 KERN AVE, GILROY, CA, 95020",MEDICF,"8300 KERN AV",Gilroy,"2024-08-09 19:27"
E49,"8785 RANCHO HILLS DR, GILROY, CA, 95020",MEDICF,"8785 RANCHO HILLS DR",Gilroy,"2024-08-23 13:10"
E48,"7660 SANTA THERESA DR, GILROY, CA, 95020",MEDICF,"7660 SANTA THERESA DR",Gilroy,"2024-10-03 15:21"
E47,,AUTOAF,"(UNKNOWN ADDRESS)",Gilroy,"2024-07-27 06:32"
E650,"7600 ISABELLA WAY, GILROY, CA, 95020",MEDICF,"7600 ISABELLA WY",Gilroy,"2024-07-29 07:40"
E48,,MEDICF,"755 FIRST ST",Gilroy,"2026-04-08 00:48"
E49,"459 MADISON CT, GILROY, CA, 95020",MEDICF,"459 MADISON CT",Gilroy,"2024-08-09 19:33"
E650,"7610 ISABELLA WAY, GILROY, CA, 95020",MEDICF,"7610 ISABELLA WY",Gilroy,"2024-09-28 10:53"
E47,,MEDICF,"US HWY 101/LEAVESLEY RD",Gilroy,"2024-09-28 10:34"
E48,"395 LEAVESLEY RD, GILROY, CA, 95020",MEDICF,"395 LEAVESLEY RD",Gilroy,"2024-10-13 21:51"
E47,"7150 CAMINO ARROYO, GILROY, CA, 95020",MEDICF,"7150 CAMINO ARROYO",Gilroy,"2024-07-27 09:51"
E49,,MEDICF,"LEWIS ST/MONTEREY ST",Gilroy,"2024-09-28 13:14"
E47,"7540 CHESTNUT ST, GILROY, CA, 95020",AAF,"7540 CHESTNUT ST",Gilroy,"2024-08-09 18:53"
E69,"7686 HACKETT DR, GILROY, CA, 95020",MEDICF,"7686 HACKETT DR",Gilroy,"2025-01-26 21:37"
E47,,MEDICF,"55 FIFTH ST",Gilroy,"2024-09-28 14:36"
E49,,MEDICF,"1235 FIRST ST",Gilroy,"2025-04-23 11:39"
"E48, B47",,SMOKE,"CEDAR CT/WESTWOOD DR",Gilroy,"2025-01-16 13:01"
E48,,MEDICF,"WREN AV/FRANKLIN LN",Gilroy,"2025-01-26 21:42"
E47,,MEDICF,"6905 CAMINO ARROYO",Gilroy,"2024-08-23 13:30"
E49,"1442 MANTELLI DR, GILROY, CA, 95020",PSLIFT,"1442 MANTELLI DR",Gilroy,"2024-09-05 19:43"
E47,,FIREHF,"US HWY 101/LEAVESLEY RD OFF 101N RP",Gilroy,"2024-08-05 07:21"
E48,"7580 WREN AVE, GILROY, CA, 95020",PSLIFT,"7580 WREN AV",Gilroy,"2024-08-23 13:41"
B47,"7070 CHESTNUT ST, GILROY, CA, 95020",TESTF,"7070 CHESTNUT ST",Gilroy,"2024-08-23 16:04"
E48,,MEDICF,"8383 WREN AV",Gilroy,"2024-10-28 21:00"
E47,,FIREOF,"5925 MONTEREY FRONTAGE RD",Gilroy,"2025-11-11 00:34"
E49,"9410 BENBOW DR, GILROY, CA, 95020",MEDICF,"9410 BENBOW DR",Gilroy,"2024-07-13 07:48"
E47,"7371 FOREST ST, GILROY, CA, 95020",GASIF,"7371 FOREST ST",Gilroy,"2024-09-05 20:17"
E49,"8526 EMERSON CT, GILROY, CA, 95020",MEDICF,"8526 EMERSON CT",Gilroy,"2025-04-14 14:21"
E47,"5975 TRAVEL PARK CIR, GILROY, CA, 95020",MEDICF,"5975 TRAVEL PARK CI",Gilroy,"2024-09-05 20:43"
E650,,SMOKE,"FRIEDRICH PL/CLUB DR",Gilroy,"2024-08-23 14:59"
E49,"1640 EL DORADO DR, GILROY, CA, 95020",MEDICF,"1640 EL DORADO DR",Gilroy,"2025-07-27 09:29"
E49,"9712 ZUNI LN, GILROY, CA, 95020",MEDICF,"9712 ZUNI LN",Gilroy,"2024-07-13 13:37"
E49,"773 EL CERRITO WAY, GILROY, CA, 95020",1056AF,"773 EL CERRITO WY",Gilroy,"2026-06-09 20:39"
RM49,"777 EL CERRITO WAY, GILROY, CA, 95020",MEDICF,"777 EL CERRITO WY",Gilroy,"2024-07-13 13:30"
E47,"7110 CAMINO ARROYO, GILROY, CA, 95020",MEDICF,"7110 CAMINO ARROYO",Gilroy,"2025-02-05 03:56"
"E650, E49","7600 ISABELLA WAY, GILROY, CA, 95020",MEDICF,"7600 ISABELLA WY",Gilroy,"2024-10-29 01:39"
"E49, E48",,1180F,"250 E TENTH ST",Gilroy,"2025-01-31 19:32"
E48,"8170 MURRAY AVE, GILROY, CA, 95020",MEDICF,"8170 MURRAY AV",Gilroy,"2024-10-29 00:08"
E49,,AUTOAV,"1950 DAY RD","Santa Clara County","2024-08-14 13:23"
E147,,MEDICF,"7144 CHURCH ST",Gilroy,"2024-11-08 00:17"
E48,,MEDICF,"691 FIRST ST",Gilroy,"2025-12-11 23:35"
E47,"7150 CAMINO ARROYO, GILROY, CA, 95020",MEDICF,"7150 CAMINO ARROYO",Gilroy,"2024-12-20 23:04"
E48,"8170 WESTWOOD DR, GILROY, CA, 95020",MEDICF,"8170 WESTWOOD DR",Gilroy,"2024-07-27 14:02"
,,1180,"WREN AV/FIRST ST",Gilroy,"2024-08-09 21:01"
"E2614, E147","7367 MILLER AVE, GILROY, CA, 95020",MEDICF,"7367 MILLER AV",Gilroy,"2024-11-08 03:08"
E48,,1180F,"WREN AV/FIRST ST",Gilroy,"2024-08-09 21:01"
E48,,MEDICF,"850 THIRD ST",Gilroy,"2024-09-17 16:00"
E49,,FMIS,"1599 THIRD ST",Gilroy,"2025-04-23 12:07"
"T47, E48","7610 ISABELLA WAY, GILROY, CA, 95020",MEDICF,"7610 ISABELLA WY",Gilroy,"2024-12-09 09:30"
E49,"8282 MURRAY AVE, GILROY, CA, 95020",MEDICF,"8282 MURRAY AV",Gilroy,"2025-01-31 19:43"
E650,"7600 ISABELLA WAY, GILROY, CA, 95020",MEDICF,"7600 ISABELLA WY",Gilroy,"2024-07-27 13:10"
E48,,MEDICF,"935 THIRD ST",Gilroy,"2024-10-28 22:19"
E49,"9359 MONTEREY RD, GILROY, CA, 95020",MEDICF,"9359 MONTEREY RD",Gilroy,"2024-12-20 23:55"
E69,,MEDICF,"2882 LEMON GRASS LN",Gilroy,"2024-12-20 23:22"
E49,,AUTOAV,"375 FITZGERALD AV","Santa Clara County","2024-08-09 21:23"
E48,,MEDICF,"935 THIRD ST",Gilroy,"2024-08-23 14:54"
E49,"8800 LILLY AVE, GILROY, CA, 95020",MEDICF,"8800 LILLY AV",Gilroy,"2024-08-27 17:26"
E50,"6984 AUTOMALL PKWY, GILROY, CA, 95020",MEDICF,"6984 AUTOMALL PARKWAY",Gilroy,"2024-07-15 11:54"
E48,,MEDICF,"935 THIRD ST",Gilroy,"2024-10-29 03:36"
E650,"5961 BALTUSROL DR, GILROY, CA, 95020",MEDICF,"5961 BALTUSROL DR",Gilroy,"2024-09-05 21:47"
E48,"7340 WREN AVE, GILROY, CA, 95020",MEDICF,"7340 WREN AV",Gilroy,"2026-03-10 22:44"
E48,"7999 WESTWOOD DR, GILROY, CA, 95020",MEDICF,"7999 WESTWOOD DR",Gilroy,"2025-04-03 21:13"
"E169, E48, E49, B47",,FIREF,"US HWY 101/AUTOMALL PARKWAY",Gilroy,"2025-03-06 07:35"
E49,"9051 LOGANBERRY DR, GILROY, CA, 95020",MEDICF,"9051 LOGANBERRY DR",Gilroy,"2025-03-10 10:58"
"E147, E169, E48, E2614, E49, B47, B69","6500 MONTEREY RD, GILROY, CA, 95020",1033WF,"6500 MONTEREY RD",Gilroy,"2024-11-08 04:05"
E48,"8124 KELTON DR, GILROY, CA, 95020",MEDICF,"8124 KELTON DR",Gilroy,"2024-09-17 17:54"
E49,,VEGF,"HECKER PASS RD/TWO OAKS LN",Gilroy,"2024-08-09 23:30"
E48,"1090 ORTEGA CIR, GILROY, CA, 95020",MEDICF,"1090 ORTEGA CI",Gilroy,"2024-08-23 16:36"
T50,"1545 MARGARETA PL, GILROY, CA, 95020",MEDICF,"1545 MARGARETA PL",Gilroy,"2024-09-22 19:26"
E48,,MEDICF,"905 FIRST ST",Gilroy,"2024-12-15 00:52"
"E69, E169",,MEDICF,"200 E TENTH ST",Gilroy,"2024-11-08 04:15"
E48,,FIREHF,"LEAVESLEY RD/US HWY 101",Gilroy,"2024-09-17 18:49"
E48,"8170 MURRAY AVE, GILROY, CA, 95020",MEDICF,"8170 MURRAY AV",Gilroy,"2025-03-06 17:56"
E47,"111 LEWIS ST, GILROY, CA, 95020",MEDICF,"111 LEWIS ST",Gilroy,"2024-08-10 00:01"
E47,,MEDICF,"601 E SEVENTH ST",Gilroy,"2024-09-05 23:50"
T47,"7171 ROSANNA ST, GILROY, CA, 95020",MEDICF,"7171 ROSANNA ST",Gilroy,"2025-01-16 13:18"
E48,"760 EINSTEIN PL, GILROY, CA, 95020",MEDICF,"760 EINSTEIN PL",Gilroy,"2024-08-09 22:37"
E49,,MEDICF,"130 COHANSEY AV","Santa Clara County","2024-07-15 12:57"
E48,"300 LEAVESLEY RD, GILROY, CA, 95020",1033WF,"300 LEAVESLEY RD",Gilroy,"2024-07-28 14:33"
E47,,MEDICF,"7301 HANNA ST",Gilroy,"2024-08-10 01:09"
E48,"8755 KERN AV, GILROY, CA, 95020",1033GF,"8755 KERN AV",Gilroy,"2025-05-02 08:22"
E49,,MOVE,"8383 WREN AV",Gilroy,"2024-11-08 04:51"
E48,"620 RONAN AVE, GILROY, CA, 95020",MEDICF,"620 RONAN AV",Gilroy,"2024-08-23 17:10"
E49,"8490 WREN AVE, GILROY, CA, 95020",MEDICF,"8490 WREN AV",Gilroy,"2024-08-09 23:02"
E47,,MEDICF,"200 E TENTH ST",Gilroy,"2025-03-18 17:39"
E48,"8101 KELTON DR, GILROY, CA, 95020",MEDICF,"8101 KELTON DR",Gilroy,"2025-03-23 11:17"
E47,,1180F,"MONTEREY FRONTAGE RD/FARMAN LN",Gilroy,"2024-08-10 02:14"
E47,,MEDICF,"500 W TENTH ST",Gilroy,"2024-12-09 09:56"
E49,"1545 MARGARETA PL, GILROY, CA, 95020",MEDICF,"1545 MARGARETA PL",Gilroy,"2024-09-17 19:24"
E47,,AUTOAV,"BLOOMFIELD AV/FRAZIER LAKE RD","Santa Clara County","2024-08-10 08:01"
E48,"520 BROADWAY, GILROY, CA, 95020",MEDICF,"520 BROADWAY",Gilroy,"2024-09-30 08:19"
E47,,AUTOAM,"2100 BLOOMFIELD AV","Santa Clara County","2024-09-30 08:24"
E49,,MEDICF,"850 DAY RD",Gilroy,"2025-01-16 14:03"
E47,,AUTOAM,"US HWY 101/HWY 25","Santa Clara County","2025-01-06 08:42"
E49,"1655 VALLEY OAKS DR, GILROY, CA, 95020",MEDICF,"1655 VALLEY OAKS DR",Gilroy,"2025-03-07 14:42"
E48,,MEDICF,"1081 THIRD ST",Gilroy,"2024-09-30 07:49"
E48,"8490 WREN AVE, GILROY, CA, 95020",MEDICF,"8490 WREN AV",Gilroy,"2024-08-10 07:33"
"T50, E47","7236 CARR PL, GILROY, CA, 95020",MEDICF,"7236 CARR PL",Gilroy,"2024-12-21 03:17"
E49,,MEDICF,"1520 HECKER PASS RD",Gilroy,"2024-08-10 03:36"
E48,"8361 PARISH WAY, GILROY, CA, 95020",MEDICF,"8361 PARISH WY",Gilroy,"2024-12-21 03:09"
E47,,MEDICF,"7475 CAMINO ARROYO",Gilroy,"2024-09-30 09:05"
E49,"9739 DREAM CATCHER WAY, GILROY, CA, 95020",GASIF,"9739 DREAM CATCHER WY",Gilroy,"2024-08-17 13:09"
"B47, E48",,AUTOAVA,"HECKER PASS RD/RANCHO VISTA DR",Gilroy,"2025-01-16 14:15"
E47,,MEDICF,"7475 CAMINO ARROYO",Gilroy,"2024-12-09 10:29"
"E48, E47, RM49",,1181F,"7201 CAMINO ARROYO",Gilroy,"2024-12-31 14:46"
E47,"7040 HANNA ST, GILROY, CA, 95020",MEDICF,"7040 HANNA ST",Gilroy,"2025-05-16 18:40"
E48,"8061 CHURCH ST, GILROY, CA, 95020",MEDICF,"8061 CHURCH ST",Gilroy,"2025-10-27 23:26"
E48,,MEDICF,"935 THIRD ST",Gilroy,"2025-10-25 22:22"
